Period,Address,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Sea Level Pressure,Latitude,Longitude
"Week 42 (Oct)","NYC",41,68.1,54,40.1,60.84,19.7,62.2,250.83,0.2,13.02,,10,1017.2,40.71455,-74.00714
"Week 43 (Oct)","NYC",42,67.9,50.4,39.8,68.64,24.2,65.5,193.59,0.6,19.53,,9.3,1015.1,40.71455,-74.00714
"Week 44 (Oct)","NYC",43.9,70.1,57.1,45.8,67.33,24.2,60.8,222.24,0.4,9.41,,9.9,1016.2,40.71455,-74.00714
"Week 45 (Nov)","NYC",34.9,64.1,50.2,39.1,68.16,20.8,60.8,168.5,1.6,21.89,,9.3,1020.4,40.71455,-74.00714
"Week 46 (Nov)","NYC",33,52.8,42.3,31.3,66.6,25.3,52.8,90.31,1,17.75,,9.3,1021.9,40.71455,-74.00714
"Week 47 (Nov)","NYC",15.7,58.8,39.5,27.2,62.64,27.7,43.6,232.03,1.7,8.28,,9.2,1020.3,40.71455,-74.00714
"Week 48 (Nov)","NYC",38,55.2,44.4,36.2,73.89,24.2,63.3,180.71,1,27.81,,8.8,1008.5,40.71455,-74.00714
"Week 49 (Dec)","NYC",26.8,55.1,37.3,22.9,56.43,18.3,59.7,222.11,0.1,5.33,,10,1021.9,40.71455,-74.00714
"Week 50 (Dec)","NYC",33,51.2,41.3,33.6,75.1,25.3,44.7,89.59,1,25.44,,9.3,1021.3,40.71455,-74.00714
"Week 51 (Dec)","NYC",28.9,57.9,42.8,32.5,68.59,20.8,51.7,194.34,1.6,20.71,,9.6,1011.9,40.71455,-74.00714
"Week 52 (Dec)","NYC",32.1,59.1,42.7,32.3,67.9,16.1,45.9,229.7,0.8,13.61,,9.5,1024.5,40.71455,-74.00714
"Week 1 (Dec)","NYC",28.2,56.9,42.7,33.5,71.13,12.7,44.7,200.51,1.4,14.12,,9.5,1015,40.71455,-74.00714
