Period,Address,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Sea Level Pressure,Latitude,Longitude
"Week 30 (Jul)","nyc",64.1,83.9,72.8,61.9,70.08,20.6,49.4,109.67,1.3,11.24,,9.7,1014.6,40.71455,-74.00714
"Week 31 (Jul)","nyc",66.5,89.9,76.9,64.3,66.91,19.1,53.9,212.67,2.5,18.93,,9.8,1016.7,40.71455,-74.00714
"Week 32 (Aug)","nyc",65.9,85.9,74.4,63,69.41,11.4,53.9,204.61,0.5,14.2,,9.7,1017.5,40.71455,-74.00714
"Week 33 (Aug)","nyc",69.1,88.8,77.4,66.7,71.88,12.4,67.8,204.54,0.9,17.75,,9.6,1014,40.71455,-74.00714
"Week 34 (Aug)","nyc",66.6,91,76.1,59.9,59.34,24.6,56.4,199.55,0.4,7.69,,9.9,1017.8,40.71455,-74.00714
"Week 35 (Aug)","nyc",55.6,83.7,68.2,55.7,66.65,17.9,48.3,161.27,1.2,24.85,,9.8,1018.3,40.71455,-74.00714
"Week 36 (Sep)","nyc",58.1,87,68.9,56.9,67.3,19.9,58.6,225.85,0.5,17.16,,9.9,1016.7,40.71455,-74.00714
"Week 37 (Sep)","nyc",60,82.1,72.8,62.8,72.66,10.3,57.5,202.53,0.1,5.33,,9.4,1017.4,40.71455,-74.00714
"Week 38 (Sep)","nyc",68,93.6,75.8,62.7,65.65,22.7,55.3,151.09,0.3,10.06,,9.9,1015.7,40.71455,-74.00714
"Week 39 (Sep)","nyc",56.6,87.8,70.6,58.5,67.33,13.8,59.7,161.82,0.1,5.33,,10,1017,40.71455,-74.00714
"Week 40 (Oct)","nyc",58.8,83.8,70.3,60,71.36,13.7,49.4,201.32,0.4,8.28,,9.9,1023.3,40.71455,-74.00714
"Week 41 (Oct)","nyc",55,83.7,68.7,61.2,77.96,21.5,45.9,145.06,0.4,20.71,,9.7,1020.5,40.71455,-74.00714
"Week 42 (Oct)","nyc",46.9,79.9,63.1,46,55.91,12.5,52.8,248.1,0.1,7.69,,10,1023.4,40.71455,-74.00714
"Week 43 (Oct)","nyc",50,73.4,63.1,54.1,73.88,18.3,57.5,205.17,2,30.18,,9.4,1011.1,40.71455,-74.00714
"Week 44 (Oct)","nyc",46.6,74.7,58.3,47.6,69.22,21.8,51.7,178.21,0.3,18.82,,9.8,1018.7,40.71455,-74.00714
"Week 45 (Nov)","nyc",26.8,65.9,46.6,35,65.5,15.7,53.9,181.08,0.2,14.2,,9.9,1024,40.71455,-74.00714
"Week 46 (Nov)","nyc",39.7,59,47.9,36.4,65.62,24.6,52.8,183.64,0.4,18.34,,10,1015.8,40.71455,-74.00714
"Week 47 (Nov)","nyc",34,60.9,46.3,31.2,56.35,19.7,57.5,265.09,0.3,8.28,,10,1014.8,40.71455,-74.00714
"Week 48 (Nov)","nyc",39.7,66.6,48.4,35.5,62.42,17.8,57.2,170.3,0.5,13.02,,10,1022.7,40.71455,-74.00714
"Week 49 (Dec)","nyc",30,60.2,43.2,31.8,65.99,19.3,49.4,219.74,0.9,18.93,3.9,9.4,1016.8,40.71455,-74.00714
"Week 50 (Dec)","nyc",24,50.1,34.2,22.9,64.26,20.4,55.3,233.88,0.2,13.61,2,9.7,1012.1,40.71455,-74.00714
"Week 51 (Dec)","nyc",34,56,43.2,31.6,65.44,18.2,34.4,189.14,0.3,13.02,,9.6,1016.5,40.71455,-74.00714
"Week 52 (Dec)","nyc",12,39.8,23.7,10.5,57.75,24,52.8,271.68,0.5,17.65,,9.8,1024.6,40.71455,-74.00714
