Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Sea Level Pressure,Weather Type,Latitude,Longitude,Info
"NYC",01/01/2018,8.7,21.9,15,3.8,61.72,8,44.7,293.86,0,0,,10,1028.7,"",40.71455,-74.00714,""
"NYC",01/02/2018,14.6,27.1,20.2,9.4,62.83,9.2,31.1,263.5,0,0,,10,1029.1,"",40.71455,-74.00714,""
"NYC",01/03/2018,17.2,31.5,23.9,10.8,57.78,7.4,47.2,203.25,0.2,37.5,,10,1025.1,"",40.71455,-74.00714,""
"NYC",01/04/2018,21.2,30.8,25.6,19.7,79.77,7.4,42.5,239.09,0.1,45.83,,5.6,1000.1,"Heavy Snow, Light Snow, Mist, Rain, Fog, Smoke Or Haze, Snow",40.71455,-74.00714,""
"NYC",01/05/2018,11.3,21,16,5.1,62.24,4.6,43.6,290.35,0,0,,10,1010.4,"",40.71455,-74.00714,""
"NYC",01/06/2018,8.2,20.3,12.7,-0.7,54.77,11.1,40.3,281.48,0,0,,10,1024.5,"",40.71455,-74.00714,""
"NYC",01/07/2018,6.1,23.9,13.7,1.2,57.39,9.2,36.7,258.61,0,0,,10,1033.9,"",40.71455,-74.00714,""
"NYC",01/08/2018,18,30.7,25.1,15.3,66.31,8.6,49.4,248.38,0,8.33,,9.9,1023.3,"Light Snow, Rain, Light Rain",40.71455,-74.00714,""
"NYC",01/09/2018,29.8,44.5,36.1,23.9,62.46,5.6,40.3,264.44,0,8.33,,10,1022.2,"",40.71455,-74.00714,""
"NYC",01/10/2018,31.3,40.9,35.9,25.2,65.24,4.3,58.6,156.86,0.1,4.17,,10,1031.6,"",40.71455,-74.00714,""
"NYC",01/11/2018,37,51.2,43.6,38.8,83.31,4.3,48.3,200.47,0,4.17,,9.8,1027.9,"Smoke Or Haze",40.71455,-74.00714,""
"NYC",01/12/2018,47.9,59.7,55.4,54.6,97.06,6.9,,166.48,0.4,50,,6.4,1012.3,"Mist, Rain, Fog, Light Rain",40.71455,-74.00714,""
