Pickup_Date,trip_distance_km,duration_seconds,avg_speed,pickup_hour,Minimum Temperature,Maximum Temperature,Temperature,tip_amount,PULocationID
2017-06-02,9.768718080000001,1696,20.73548649056604,23,16.17,25.5,20.61,2.0,148
2017-06-02,3.04166016,659,16.616049432473446,21,16.17,25.5,20.61,2.06,170
2017-06-02,3.7175846400000006,627,21.34498357894737,23,16.17,25.5,20.61,1.0,52
2017-06-02,8.626083840000002,1255,24.74414487968128,8,16.17,25.5,20.61,4.06,107
2017-06-02,2.52667008,688,13.220948093023257,10,16.17,25.5,20.61,1.96,231
2017-06-02,22.530816,2778,29.197601727861773,14,16.17,25.5,20.61,10.0,13
2017-06-02,13.615050240000002,4276,11.462624149672592,17,16.17,25.5,20.61,6.87,79
2017-06-02,5.3108352,1084,17.637460073800735,22,16.17,25.5,20.61,3.25,166
2017-06-02,1.7380915200000002,846,7.396134127659575,12,16.17,25.5,20.61,2.06,229
2017-06-02,0.6115507200000001,110,20.0143872,23,16.17,25.5,20.61,1.2,50
2017-06-02,1.2874752000000003,203,22.832072512315275,8,16.17,25.5,20.61,1.05,230
2017-06-02,6.5983104,938,25.32400579957356,8,16.17,25.5,20.61,1.0,246
2017-06-02,8.851392,2261,14.093326492702346,23,16.17,25.5,20.61,5.55,234
2017-06-02,4.32913536,753,20.697061482071714,21,16.17,25.5,20.61,2.56,246
2017-06-02,2.414016,785,11.070646624203823,9,16.17,25.5,20.61,2.05,229
2017-06-02,1.4484096000000002,414,12.594866086956523,12,16.17,25.5,20.61,1.45,107
2017-06-02,26.715110400000004,1519,63.31428402896643,1,16.17,25.5,20.61,2.5,132
2017-06-02,1.19091456,325,13.191668972307692,12,16.17,25.5,20.61,1.26,236
2017-06-02,1.7059046400000002,602,10.201423096345517,9,16.17,25.5,20.61,1.0,48
2017-06-02,1.35184896,333,14.614583351351353,22,16.17,25.5,20.61,1.46,33
2017-06-02,1.9312128,703,9.889567681365575,8,16.17,25.5,20.61,1.95,233
2017-06-02,3.83023872,1526,9.035949798165138,8,16.17,25.5,20.61,3.46,90
2017-06-02,0.804672,317,9.138230914826499,19,16.17,25.5,20.61,1.35,142
2017-06-02,1.609344,394,14.704665989847715,17,16.17,25.5,20.61,1.55,143
2017-06-02,1.2552883200000002,260,17.380915200000004,18,16.17,25.5,20.61,1.36,42
2017-06-02,1.609344,531,10.91080677966102,18,16.17,25.5,20.61,3.0,142
2017-06-02,3.218688,676,17.140942011834323,0,16.17,25.5,20.61,2.25,144
2017-06-02,3.95898624,933,15.2758311511254,22,16.17,25.5,20.61,2.66,48
2017-06-02,3.52446336,1173,10.816767345268543,11,16.17,25.5,20.61,1.5,107
2017-06-02,2.2530816,303,26.76928633663366,6,16.17,25.5,20.61,1.45,237
2017-06-02,1.9312128,438,15.87298191780822,8,16.17,25.5,20.61,1.55,79
2017-06-02,11.7482112,1581,26.751145047438328,20,16.17,25.5,20.61,6.4,186
2017-06-02,7.081113600000001,1736,14.684336958525346,22,16.17,25.5,20.61,6.35,246
2017-06-02,4.5061632,864,18.775679999999998,16,16.17,25.5,20.61,3.0,158
2017-06-02,3.218688,1105,10.48622334841629,21,16.17,25.5,20.61,2.85,234
2017-06-02,1.2874752000000003,281,16.49434419928826,19,16.17,25.5,20.61,1.36,164
2017-06-02,0.94951296,323,10.582806984520124,8,16.17,25.5,20.61,1.16,263
2017-06-02,1.2874752000000003,715,6.482392615384616,10,16.17,25.5,20.61,2.3,237
2017-06-02,15.626730240000002,3315,16.970204785520366,17,16.17,25.5,20.61,9.61,138
2017-06-02,5.793638400000001,662,31.506190694864053,6,16.17,25.5,20.61,2.0,231
2017-06-02,29.740677120000004,2156,49.659757714285725,20,16.17,25.5,20.61,5.13,97
2017-06-02,5.19818112,855,21.8870784,7,16.17,25.5,20.61,3.58,236
2017-06-02,18.443082240000003,2287,29.03152429558374,14,16.17,25.5,20.61,6.0,161
2017-06-02,2.7358848,817,12.055306340269277,12,16.17,25.5,20.61,1.5,142
2017-06-02,1.2874752000000003,307,15.097429055374596,18,16.17,25.5,20.61,1.45,239
2017-06-02,5.3108352,1322,14.462183600605142,19,16.17,25.5,20.61,2.75,41
2017-06-02,1.7702784000000003,593,10.747052681281621,18,16.17,25.5,20.61,1.95,141
2017-06-02,5.16599424,1239,15.01015275544794,23,16.17,25.5,20.61,3.26,113
2017-06-02,1.609344,361,16.048859833795014,13,16.17,25.5,20.61,1.35,237
2017-06-02,2.0921472000000003,767,9.819726101694917,10,16.17,25.5,20.61,1.0,113
2017-06-02,2.0921472000000003,630,11.95512685714286,18,16.17,25.5,20.61,2.05,234
2017-06-02,7.966252800000001,1224,23.430155294117654,20,16.17,25.5,20.61,3.0,263
2017-06-02,3.218688,563,20.581308703374777,20,16.17,25.5,20.61,2.05,161
2017-06-02,3.0577536,927,11.874771262135921,17,16.17,25.5,20.61,2.75,41
2017-06-02,31.494862080000004,4659,24.33601706117193,14,16.17,25.5,20.61,2.5,132
2017-06-02,7.7248512,1145,24.287741764192138,10,16.17,25.5,20.61,4.7,143
2017-06-02,1.23919488,338,13.198525349112428,17,16.17,25.5,20.61,1.46,90
2017-06-02,2.01168,567,12.77257142857143,15,16.17,25.5,20.61,1.76,75
2017-06-02,1.1265408,343,11.823751836734694,12,16.17,25.5,20.61,1.25,236
2017-06-02,3.5405568000000005,1016,12.545280000000002,7,16.17,25.5,20.61,3.3,246
2017-06-02,5.50395648,947,20.92317141288279,22,16.17,25.5,20.61,3.06,263
2017-06-02,2.5749504000000005,561,16.523745882352944,12,16.17,25.5,20.61,2.2,246
2017-06-02,3.39571584,711,17.193497924050632,19,16.17,25.5,20.61,2.36,163
2017-06-02,7.2420480000000005,1603,16.264112788521523,22,16.17,25.5,20.61,4.35,114
2017-06-02,5.18208768,1534,12.161353095176013,18,16.17,25.5,20.61,3.86,170
2017-06-02,2.0438668800000004,417,17.644893928057556,0,16.17,25.5,20.61,2.08,234
