avg_speed,pickup_hour,Minimum Temperature,Maximum Temperature,Temperature,tip_amount
14.107885714285716,0,17.89,26.61,21.61,1.36
10.161150424615386,11,17.89,26.61,21.61,4.7
17.102991586715873,12,17.89,26.61,21.61,1.26
14.933602427586209,22,17.89,26.61,21.61,3.06
62.07469714285713,3,17.89,26.61,21.61,3.66
19.211017382198953,22,17.89,26.61,21.61,2.0
15.940449345521024,10,17.89,26.61,21.61,4.44
22.713696,21,17.89,26.61,21.61,1.16
18.205518077634014,17,17.89,26.61,21.61,2.05
29.459178305084745,7,17.89,26.61,21.61,1.2
23.562644210526315,19,17.89,26.61,21.61,1.85
7.673693245033115,22,17.89,26.61,21.61,1.25
12.240081126760565,8,17.89,26.61,21.61,1.98
39.54787951304348,0,17.89,26.61,21.61,0.1
28.200822675496692,21,17.89,26.61,21.61,0.78
13.979288364611262,22,17.89,26.61,21.61,1.35
41.661642627651794,12,17.89,26.61,21.61,7.11
15.11383930434783,13,17.89,26.61,21.61,1.36
13.419563331848554,15,17.89,26.61,21.61,4.36
26.201566921348316,11,17.89,26.61,21.61,3.0
17.2389961037464,16,17.89,26.61,21.61,8.32
13.947648000000003,21,17.89,26.61,21.61,1.06
12.746004480000003,13,17.89,26.61,21.61,1.2
8.663384523364487,17,17.89,26.61,21.61,2.75
16.419758599078342,23,17.89,26.61,21.61,1.56
13.062579946949603,8,17.89,26.61,21.61,3.65
13.713929660377358,23,17.89,26.61,21.61,1.86
17.735627755102044,19,17.89,26.61,21.61,2.15
12.45943741935484,3,17.89,26.61,21.61,1.45
5.325734576493763,13,17.89,26.61,21.61,3.25
8.552513828571428,17,17.89,26.61,21.61,1.56
49.55085473684212,5,17.89,26.61,21.61,7.3
13.16736,18,17.89,26.61,21.61,2.35
44.72741157562078,19,17.89,26.61,21.61,10.0
12.774559377431906,17,17.89,26.61,21.61,4.8
14.562558058504875,8,17.89,26.61,21.61,3.2
47.15189849749583,5,17.89,26.61,21.61,7.01
7.80765971209801,9,17.89,26.61,21.61,2.2
11.168459566265062,13,17.89,26.61,21.61,2.25
24.922355128491624,2,17.89,26.61,21.61,1.0
15.81950910638298,17,17.89,26.61,21.61,1.36
17.69049893129771,7,17.89,26.61,21.61,1.45
14.68809735211268,23,17.89,26.61,21.61,0.7
18.967268571428576,4,17.89,26.61,21.61,1.17
21.878075076923082,6,17.89,26.61,21.61,0.96
0.06179307806812122,14,17.89,26.61,21.61,1.4
7.1428418630136985,9,17.89,26.61,21.61,1.7
10.71242847457627,18,17.89,26.61,21.61,1.2
12.76131806167401,7,17.89,26.61,21.61,2.45
21.284225753424657,6,17.89,26.61,21.61,11.7
16.302445714285717,1,17.89,26.61,21.61,1.16
44.36569945945946,4,17.89,26.61,21.61,7.51
19.980293142857143,0,17.89,26.61,21.61,3.58
21.533877238938057,20,17.89,26.61,21.61,2.15
17.393163906976746,21,17.89,26.61,21.61,1.86
50.83859990438248,6,17.89,26.61,21.61,10.0
11.972478274932616,10,17.89,26.61,21.61,2.75
15.978702529080678,17,17.89,26.61,21.61,1.86
9.17349969322118,12,17.89,26.61,21.61,4.36
10.051419847328244,9,17.89,26.61,21.61,4.05
8.88594846625767,11,17.89,26.61,21.61,2.66
25.51847256117456,22,17.89,26.61,21.61,1.5
6.5578380794157916,18,17.89,26.61,21.61,4.66
13.197353986332574,19,17.89,26.61,21.61,2.55
3.2186880000000007,23,17.89,26.61,21.61,1.05
17.04011294117647,19,17.89,26.61,21.61,1.35
22.47960064626683,0,17.89,26.61,21.61,4.14
9.896606519572956,13,17.89,26.61,21.61,1.0
8.966345142857143,10,17.89,26.61,21.61,1.5
11.953596698835275,21,17.89,26.61,21.61,1.86
11.738196468885672,19,17.89,26.61,21.61,1.0
10.846124929797192,18,17.89,26.61,21.61,2.05
16.744619653179193,19,17.89,26.61,21.61,3.05
13.890485508196722,16,20.67,30.61,25.11,1.56
17.265809801324508,18,20.67,30.61,25.11,2.6
7.589452516605165,15,20.67,30.61,25.11,1.56
18.758771896848142,23,20.67,30.61,25.11,2.0
22.017084039087948,8,20.67,30.61,25.11,4.4
31.70915265306124,15,20.67,30.61,25.11,4.16
14.643261890109889,23,20.67,30.61,25.11,1.0
11.029972905811624,13,20.67,30.61,25.11,2.55
20.04088754716981,11,20.67,30.61,25.11,3.7
20.691565714285712,23,20.67,30.61,25.11,1.0
21.042270217917675,2,20.67,30.61,25.11,1.0
24.76024935950645,21,20.67,30.61,25.11,5.56
11.671778362807657,19,20.67,30.61,25.11,2.07
16.320108169014087,20,20.67,30.61,25.11,1.36
16.42468361941748,12,20.67,30.61,25.11,0.83
14.667438987341773,3,20.67,30.61,25.11,1.0
14.232511205955335,20,20.67,30.61,25.11,1.82
26.117354057142858,4,20.67,30.61,25.11,2.46
28.261650731707316,13,20.67,30.61,25.11,1.35
10.103007758880517,13,20.67,30.61,25.11,2.95
14.315955582089552,15,20.67,30.61,25.11,1.76
16.67234071942446,16,20.67,30.61,25.11,1.55
10.681009340782122,0,20.67,30.61,25.11,2.96
16.311245954887223,21,20.67,30.61,25.11,3.26
18.652181179856118,21,20.67,30.61,25.11,1.96
14.056951077747991,12,20.67,30.61,25.11,2.26
20.46500692836343,18,20.67,30.61,25.11,8.56
21.447603692307695,12,20.67,30.61,25.11,1.5
12.044986278586281,17,20.67,30.61,25.11,1.25
26.23534369811321,16,20.67,30.61,25.11,2.76
18.17741654306903,22,20.67,30.61,25.11,4.65
15.907388670520232,10,20.67,30.61,25.11,2.06
9.954705154639177,19,20.67,30.61,25.11,1.25
14.634747815750371,17,20.67,30.61,25.11,1.95
17.294442985074625,1,20.67,30.61,25.11,1.55
15.658482162162164,13,20.67,30.61,25.11,1.0
14.575961302325583,2,20.67,30.61,25.11,1.76
12.520633084479373,21,20.67,30.61,25.11,1.75
8.128829387755102,16,20.67,30.61,25.11,2.15
71.68861615981199,6,20.67,30.61,25.11,8.89
8.174445714285715,18,20.67,30.61,25.11,2.65
15.003806152886115,20,20.67,30.61,25.11,1.18
19.67650777358491,16,20.67,30.61,25.11,1.76
13.539174449853943,16,20.67,30.61,25.11,2.65
15.558363989769823,16,20.67,30.61,25.11,2.25
12.768349090909094,18,20.67,30.61,25.11,2.05
24.728944390243907,0,20.67,30.61,25.11,1.95
12.895220604133543,18,20.67,30.61,25.11,1.85
24.586448672268908,18,20.67,30.61,25.11,8.95
12.144080490472245,19,20.67,30.61,25.11,2.86
14.795581935483868,8,20.67,30.61,25.11,1.36
28.78574712386284,11,20.67,30.61,25.11,3.72
9.899680293577983,18,20.67,30.61,25.11,3.86
15.193691481268013,1,20.67,30.61,25.11,1.46
48.04986501193318,20,12.78,21.61,16.94,9.3
11.213493677419354,0,12.78,21.61,16.94,0.86
10.023595847750867,17,12.78,21.61,16.94,5.75
13.518489600000002,15,12.78,21.61,16.94,2.95
21.05926720516963,14,12.78,21.61,16.94,2.06
14.062229126213593,11,12.78,21.61,16.94,1.0
12.437148622540253,10,12.78,21.61,16.94,5.08
19.042028307692313,19,12.78,21.61,16.94,3.95
10.530505248554915,17,12.78,21.61,16.94,3.36
12.71265979856115,15,12.78,21.61,16.94,1.66
8.9432002147651,15,12.78,21.61,16.94,1.16
24.09089436734694,3,12.78,21.61,16.94,1.66
29.31563658170915,15,12.78,21.61,16.94,9.6
16.15813724623116,10,12.78,21.61,16.94,1.2
22.078459848648645,22,12.78,21.61,16.94,2.34
33.492280096852305,7,12.78,21.61,16.94,6.06
15.057723564356438,13,12.78,21.61,16.94,1.0
17.826579692307693,4,12.78,21.61,16.94,1.0
18.319805217391306,2,12.78,21.61,16.94,3.55
10.570012444444444,16,12.78,21.61,16.94,1.0
20.962356027713625,0,12.78,21.61,16.94,2.0
23.65865815633423,23,12.78,21.61,16.94,2.56
26.877703917525775,21,12.78,21.61,16.94,1.25
15.095087642679907,18,12.78,21.61,16.94,2.0
10.778862139534883,10,12.78,21.61,16.94,1.75
12.683492978889756,0,12.78,21.61,16.94,3.26
37.92199680000001,17,12.78,21.61,16.94,2.66
26.475380225519288,7,12.78,21.61,16.94,1.0
13.32636779758482,12,12.78,21.61,16.94,4.05
41.3986948476871,18,12.78,21.61,16.94,12.0
13.5184896,18,12.78,21.61,16.94,0.95
30.8994048,9,12.78,21.61,16.94,4.0
18.15916513432836,10,12.78,21.61,16.94,0.86
42.03827335092348,20,12.78,21.61,16.94,10.0
17.086323416949153,13,12.78,21.61,16.94,1.86
12.326890212765957,12,12.78,21.61,16.94,1.95
11.7836713220339,16,12.78,21.61,16.94,1.7
29.66870304409673,12,12.78,21.61,16.94,10.55
1.5916589010989015,14,12.78,21.61,16.94,1.25
16.87467495145631,19,12.78,21.61,16.94,1.46
11.30790502870264,16,12.78,21.61,16.94,2.36
9.681676901856765,0,12.78,21.61,16.94,2.04
21.865691768770763,12,12.78,21.61,16.94,4.56
15.94579376146789,14,12.78,21.61,16.94,1.06
16.294608000000004,22,12.78,21.61,16.94,2.15
44.66254939083558,5,12.78,21.61,16.94,7.06
13.612072599118946,16,12.78,21.61,16.94,1.85
11.141612307692307,11,12.78,21.61,16.94,1.08
24.256251292786423,1,12.78,21.61,16.94,2.56
14.383161533101047,11,12.78,21.61,16.94,3.0
12.594866086956522,0,12.78,21.61,16.94,3.5
18.476069308186887,2,12.78,21.61,16.94,3.0
15.89112246857143,21,12.78,21.61,16.94,1.0
22.204693427312776,21,12.78,21.61,16.94,1.5
20.246585806451616,19,12.78,21.61,16.94,1.45
40.466335901538464,7,12.78,21.61,16.94,4.36
38.138181142303964,9,12.78,21.61,16.94,6.66
15.40630435955056,17,12.78,21.61,16.94,1.04
14.581632,9,12.78,21.61,16.94,3.06
10.70808653696498,17,10.67,23.78,16.78,2.75
17.983609127516782,12,10.67,23.78,16.78,3.45
8.43477838034577,17,10.67,23.78,16.78,2.76
12.673583999999998,15,10.67,23.78,16.78,1.96
29.220089321739128,19,10.67,23.78,16.78,5.0
22.161679753846155,8,10.67,23.78,16.78,4.46
14.44850854054054,20,10.67,23.78,16.78,2.46
12.414939428571431,16,10.67,23.78,16.78,0.94
34.87836910344828,23,10.67,23.78,16.78,8.39
10.479449302325582,18,10.67,23.78,16.78,3.75
8.568742507563027,16,10.67,23.78,16.78,2.96
31.037348571428574,14,10.67,23.78,16.78,10.1
15.71156176271187,12,10.67,23.78,16.78,1.15
16.026129034220535,21,10.67,23.78,16.78,2.96
12.326890212765957,11,10.67,23.78,16.78,0.98
15.658482162162167,15,10.67,23.78,16.78,1.5
31.358306851485153,6,10.67,23.78,16.78,3.0
17.74052034206897,7,10.67,23.78,16.78,2.26
15.293765962732921,18,10.67,23.78,16.78,2.15
17.97210279183674,20,10.67,23.78,16.78,1.13
18.069524589812335,20,10.67,23.78,16.78,3.26
11.527394232558139,17,10.67,23.78,16.78,1.0
12.337390119250427,8,10.67,23.78,16.78,1.5
18.708851137372978,17,10.67,23.78,16.78,12.15
22.783971235955057,8,10.67,23.78,16.78,1.05
11.542881103448277,7,10.67,23.78,16.78,3.05
28.059385976470587,8,10.67,23.78,16.78,11.71
11.799670875763749,12,10.67,23.78,16.78,2.3
19.312128000000005,21,10.67,23.78,16.78,2.26
22.489591424630543,17,10.67,23.78,16.78,2.5
23.450441142857137,0,10.67,23.78,16.78,4.05
14.723350444726812,19,10.67,23.78,16.78,2.35
16.39708981132076,9,10.67,23.78,16.78,1.25
23.819998726790455,17,10.67,23.78,16.78,6.0
37.45886896551725,19,10.67,23.78,16.78,1.55
19.865567565610863,16,10.67,23.78,16.78,4.02
11.666914441237115,12,10.67,23.78,16.78,3.46
13.16736,13,10.67,23.78,16.78,0.64
26.686893075780095,22,10.67,23.78,16.78,2.65
30.595618516853936,23,10.67,23.78,16.78,4.0
6.4373759999999995,9,10.67,23.78,16.78,2.06
6.475923161676647,8,10.67,23.78,16.78,3.26
28.17454290410959,17,10.67,23.78,16.78,1.0
16.705583116564416,11,10.67,23.78,16.78,1.36
16.85870648687012,6,10.67,23.78,16.78,3.75
7.82116275838349,18,10.67,23.78,16.78,2.96
16.997262699077957,18,10.67,23.78,16.78,3.35
11.304660292682929,21,10.67,23.78,16.78,1.45
21.38249673110721,6,10.67,23.78,16.78,2.05
18.122281251184834,19,10.67,23.78,16.78,1.76
5.685346093457945,15,10.67,23.78,16.78,2.46
14.969209263157895,19,10.67,23.78,16.78,1.0
13.177342835481426,14,10.67,23.78,16.78,3.26
20.840425899280575,21,10.67,23.78,16.78,1.32
16.49740489068826,7,10.67,23.78,16.78,2.26
12.274657627118646,7,10.67,23.78,16.78,0.79
28.88154735792622,20,10.67,23.78,16.78,3.75
21.13181179331307,16,10.67,23.78,16.78,1.65
11.864105938566555,18,10.67,23.78,16.78,3.05
25.094855593220338,7,16.11,24.28,19.83,2.75
58.30076377358492,2,16.11,24.28,19.83,15.84
18.95115364485981,12,16.11,24.28,19.83,1.66
11.770530569343066,8,16.11,24.28,19.83,2.16
23.461841454545457,23,16.11,24.28,19.83,1.47
16.900928821470245,16,16.11,24.28,19.83,5.55
29.56207292938497,12,16.11,24.28,19.83,2.45
19.67650777358491,23,16.11,24.28,19.83,1.35
6.595834486153846,13,16.11,24.28,19.83,2.64
25.864457142857145,18,16.11,24.28,19.83,2.7
13.854352695652176,10,16.11,24.28,19.83,2.34
48.28032,21,16.11,24.28,19.83,8.55
7.459620257510729,17,16.11,24.28,19.83,1.0
35.746463527093596,20,16.11,24.28,19.83,2.0
48.14265717311609,2,16.11,24.28,19.83,2.86
15.36192,9,16.11,24.28,19.83,1.0
18.28835253975904,7,16.11,24.28,19.83,1.2
12.874752000000003,15,16.11,24.28,19.83,1.8
12.162926769230772,13,16.11,24.28,19.83,2.32
16.977694945054946,21,16.11,24.28,19.83,1.25
23.059257313432838,21,16.11,24.28,19.83,0.58
41.74827670588236,20,16.11,24.28,19.83,2.06
22.622778514285717,8,16.11,24.28,19.83,1.06
11.791665671641793,8,16.11,24.28,19.83,1.95
13.611972155844155,17,16.11,24.28,19.83,1.0
12.01168984105045,9,16.11,24.28,19.83,3.45
17.02174085175202,6,16.11,24.28,19.83,1.36
10.18374749746479,18,16.11,24.28,19.83,4.16
15.75752379506641,19,16.11,24.28,19.83,4.05
8.857098893617021,14,16.11,24.28,19.83,2.86
20.136426146341464,13,16.11,24.28,19.83,0.96
20.511247058823532,9,16.11,24.28,19.83,5.15
26.060603955390334,17,16.11,24.28,19.83,9.7
11.51239940549273,8,16.11,24.28,19.83,1.86
41.82573176470589,21,16.11,24.28,19.83,8.3
14.295990857142856,8,16.11,24.28,19.83,1.0
16.24384598130841,15,16.11,24.28,19.83,2.45
13.147439636913768,9,16.11,24.28,19.83,1.96
24.345194886008052,17,16.11,24.28,19.83,12.6
17.57867529709229,21,16.11,24.28,19.83,1.0
54.763526168674716,22,16.11,24.28,19.83,5.16
10.228365397225723,17,16.11,24.28,19.83,2.25
14.652515720930232,20,16.11,24.28,19.83,1.0
23.029921244359095,13,16.11,24.28,19.83,5.0
15.982450758620688,20,16.11,24.28,19.83,2.86
28.332526344827592,20,16.11,24.28,19.83,2.46
22.180442214022147,19,16.11,24.28,19.83,3.2
11.732799899529043,9,16.11,24.28,19.83,1.0
34.8951878056266,23,16.11,24.28,19.83,6.26
22.04101565217391,19,16.11,24.28,19.83,3.0
20.952540416988416,23,16.11,24.28,19.83,1.84
18.709968106904235,23,16.11,24.28,19.83,2.75
8.604413465346536,15,16.11,24.28,19.83,2.0
19.796444689655175,20,16.11,24.28,19.83,0.73
23.355604800000002,6,16.11,21.61,18.06,1.46
27.69018352941177,19,16.11,21.61,18.06,1.55
20.402846192691033,14,16.11,21.61,18.06,0.94
13.289458506588582,9,16.11,21.61,18.06,4.75
10.396906361508451,21,16.11,21.61,18.06,2.06
9.950905648854963,10,16.11,21.61,18.06,1.55
7.521304349614397,16,16.11,21.61,18.06,2.16
8.453351402135231,8,16.11,21.61,18.06,2.06
30.596581491124265,15,16.11,21.61,18.06,18.92
16.257658775510205,23,16.11,21.61,18.06,1.2
16.305449389221558,15,16.11,21.61,18.06,1.86
19.23883719165086,23,16.11,21.61,18.06,1.96
11.627294256331545,14,16.11,21.61,18.06,5.76
8.71012562560621,12,16.11,21.61,18.06,4.55
7.7786293784186995,13,16.11,21.61,18.06,4.15
11.728969043478262,18,16.11,21.61,18.06,3.39
12.733271208791209,16,16.11,21.61,18.06,1.0
26.26838569269522,3,16.11,21.61,18.06,0.88
18.45719131776209,17,16.11,21.61,18.06,9.91
19.359930297029706,22,16.11,21.61,18.06,2.65
27.527068977082173,16,16.11,21.61,18.06,3.5
6.82752,10,16.11,21.61,18.06,1.65
34.08022588235295,20,16.11,21.61,18.06,3.0
10.262483478260872,16,16.11,21.61,18.06,2.45
20.2777344,15,16.11,21.61,18.06,1.76
15.157774883720935,18,16.11,21.61,18.06,1.55
23.957940216606495,13,16.11,21.61,18.06,9.05
14.337965654599408,18,16.11,21.61,18.06,11.76
13.841456928327643,22,16.11,21.61,18.06,1.25
28.461755076923076,11,16.11,21.61,18.06,7.01
20.206695237057225,14,16.11,21.61,18.06,1.56
16.24384598130841,17,16.11,21.61,18.06,2.66
17.251281294320137,14,16.11,21.61,18.06,1.5
23.701248000000003,9,16.11,21.61,18.06,10.75
20.888628244897962,7,16.11,21.61,18.06,1.26
17.099670617475734,22,16.11,21.61,18.06,1.86
14.803459984435799,8,16.11,21.61,18.06,2.16
20.93298029356417,17,16.11,21.61,18.06,8.3
14.18850220408163,19,16.11,21.61,18.06,1.35
6.08488054578097,12,16.11,21.61,18.06,3.84
11.051694673514307,12,16.11,21.61,18.06,3.26
15.83682478359909,20,16.11,21.61,18.06,1.66
14.744289341317364,16,16.11,21.61,18.06,2.15
16.183347486033522,7,16.11,21.61,18.06,1.0
19.727099345454548,7,16.11,21.61,18.06,2.06
26.358667457800518,15,16.11,21.61,18.06,2.0
10.193205981888745,8,16.11,21.61,18.06,1.0
49.80616030188679,21,16.11,21.61,18.06,8.56
16.91310588819876,9,16.11,21.61,18.06,2.0
11.914337032258066,13,16.11,21.61,18.06,1.0
10.93139320754717,10,16.11,21.61,18.06,2.05
4.683620371867422,12,16.11,21.61,18.06,2.65
14.33477542268041,10,16.11,21.61,18.06,1.65
22.622778514285717,21,16.11,21.61,18.06,1.26
37.26901894736842,4,16.11,21.61,18.06,5.32
13.30224288237372,19,16.11,21.61,18.06,8.45
11.258892437246965,6,16.11,21.61,18.06,1.06
11.609389923664125,17,16.11,21.61,18.06,2.64
14.134238608695656,7,16.11,21.61,18.06,1.46
10.315313349397591,12,16.11,21.61,18.06,2.0
4.023360000000001,14,16.11,21.61,18.06,1.55
6.398795835616439,10,16.11,21.61,18.06,2.66
13.249484906444907,21,16.11,21.61,18.06,1.25
12.910614818941507,18,16.11,21.61,18.06,1.95
14.61458335135135,20,16.11,21.61,18.06,1.95
12.517119999999998,9,16.11,21.61,18.06,1.0
6.596172751423151,11,16.11,21.61,18.06,3.0
10.79895321528425,18,16.11,21.61,18.06,1.0
15.246416842105262,10,16.11,21.61,18.06,1.0
8.882920885860308,11,16.11,21.61,18.06,1.11
19.920741629350896,17,16.11,21.67,18.0,7.7
